127.0.0.1 - - [27/Aug/2026:13:15:40 +0700] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:15:54 +0700] "GET /lab10-secured-app/?gidzl=cEQ3PnTAp2kL-eHZ5rF5BPp-YM88L9LxY_sDPmHLmNtQ_uapL531BTRwYsLVLCCkWFZOP3Awddb_4K3BBm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:15:56 +0700] "GET /lab10-secured-app/login.jsp HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:15:57 +0700] "GET /lab10-secured-app/assets/css/style.css HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:15:57 +0700] "GET /favicon.ico HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:21:08 +0700] "POST /lab10-secured-app/auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:21:12 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:21:23 +0700] "GET /lab10-secured-app/admin/users HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:21:30 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:21:59 +0700] "GET /lab10-secured-app/admin/users HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:22:17 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:22:35 +0700] "GET /lab10-secured-app/staff/products HTTP/1.1" 200 5417
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:23:16 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:23:20 +0700] "GET /lab10-secured-app/user/profile.jsp HTTP/1.1" 200 1878
